Time (s) Run #13,Time (s) Run #14,Time (s) Run #15,Time (s) Run #16,Time (s) Run #17,Time (s) Run #18,Time (s) Run #19,Time (s) Run #20,Time (s) Run #21,Time (s) Run #22,Time (s) Run #24,Position (m) Run #13,Position (m) Run #14,Position (m) Run #15,Position (m) Run #16,Position (m) Run #17,Position (m) Run #18,Position (m) Run #19,Position (m) Run #20,Position (m) Run #21,Position (m) Run #22,Position (m) Run #24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.1,1.18,1.09,0.99,1.1,1.04,1.1,1.09,1.1,0.87
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.1,1.09,1.17,1.08,0.97,1.08,1.02,1.09,1.08,1.09,0.85
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.09,1.08,1.16,1.06,0.95,1.07,1.01,1.08,1.07,1.08,0.84
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.08,1.06,1.15,1.05,0.94,1.06,1.0,1.06,1.06,1.07,0.83
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.06,1.05,1.14,1.04,0.92,1.04,0.99,1.05,1.05,1.06,0.82
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.05,1.04,1.13,1.03,0.9,1.03,0.97,1.04,1.04,1.04,0.8
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.04,1.02,1.12,1.02,0.89,1.02,0.96,1.03,1.03,1.03,0.79
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.02,1.01,1.1,1.01,0.87,1.0,0.94,1.02,1.01,1.02,0.77
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.01,0.99,1.09,0.99,0.85,0.99,0.93,1.0,1.0,1.0,0.76
0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.99,0.98,1.08,0.97,0.84,0.98,0.91,0.99,0.99,0.99,0.75
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.98,0.96,1.06,0.96,0.82,0.96,0.9,0.97,0.97,0.98,0.73
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.96,0.94,1.05,0.96,0.8,0.94,0.89,0.96,0.96,0.96,0.72
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.95,0.92,1.03,0.94,0.79,0.93,0.87,0.94,0.94,0.95,0.7
0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.93,0.91,1.01,0.92,0.77,0.91,0.86,0.92,0.93,0.93,0.68
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.91,0.89,1.0,0.9,0.75,0.9,0.84,0.91,0.91,0.92,0.67
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.87,0.98,0.88,0.73,0.88,0.82,0.89,0.89,0.9,0.65
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.88,0.85,0.96,0.87,0.71,0.86,0.81,0.87,0.88,0.88,0.64
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.86,0.83,0.95,0.85,0.69,0.85,0.79,0.86,0.86,0.86,0.62
