Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Time (s) Run #12,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11,Position (m) Run #12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.98,0.97,0.97,1.01,0.96,0.98,0.98,0.91,0.94
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.95,0.97,0.95,0.96,1.0,0.95,0.97,0.96,0.9,0.93
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.93,0.95,0.93,0.94,0.98,0.94,0.96,0.95,0.89,0.92
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.91,0.93,0.91,0.92,0.97,0.92,0.94,0.93,0.87,0.91
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.88,0.91,0.89,0.9,0.96,0.91,0.93,0.92,0.86,0.9
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.86,0.88,0.86,0.88,0.94,0.89,0.91,0.9,0.85,0.89
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.83,0.85,0.83,0.85,0.91,0.87,0.9,0.87,0.83,0.87
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.8,0.82,0.83,0.82,0.89,0.84,0.88,0.85,0.82,0.86
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.76,0.79,0.78,0.8,0.87,0.82,0.86,0.83,0.8,0.85
0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.72,0.75,0.76,0.77,0.84,0.8,0.83,0.81,0.78,0.83
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.69,0.72,0.71,0.73,0.81,0.77,0.81,0.78,0.76,0.82
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.65,0.68,0.67,0.7,0.78,0.74,0.79,0.76,0.75,0.81
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.6,0.64,0.63,0.66,0.75,0.71,0.76,0.73,0.73,0.79
0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.56,0.59,0.59,0.63,0.72,0.68,0.73,0.7,0.71,0.78
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.51,0.55,0.55,0.59,0.68,0.64,0.7,0.67,0.69,0.77
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.47,0.5,0.5,0.55,0.65,0.61,0.67,0.64,0.67,0.75
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,,,0.46,0.5,0.61,0.57,0.64,0.61,0.65,0.74
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,,,,0.46,0.57,0.53,0.61,0.58,0.62,0.72
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,,,,0.41,0.53,0.49,0.57,0.55,0.59,0.71
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,,,,0.37,0.49,0.45,0.54,0.52,0.57,0.69
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,0.44,0.41,0.51,0.49,0.54,0.67
0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,,,,,,,0.47,0.45,0.52,0.66
0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,,,,,,,0.43,0.42,0.49,0.64
0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,,,,,,,0.4,0.39,0.47,0.62
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,,,,,,,0.36,0.35,0.44,0.61
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,0.32,0.32,0.42,0.59
0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,,,,,,,,0.28,0.39,0.57
0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,,,,,,,,,0.37,0.56
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,,,,,,,,,0.34,0.54
0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,,,,,,,,,0.32,0.52
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,0.29,0.5
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,,,,,,,,,0.26,0.49
0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,,,,,,,,,0.24,0.47
0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,,,,,,,,,0.21,0.45
0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,,,,,,,,,,0.43
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,,,,,,,0.42
0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,,,,,,,,,,0.4
0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,,,,,,,,,,0.38
0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,,,,,,,,,,0.36
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,,,,,,,,,,0.34
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,0.33
0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,,,,,,,,,,0.31
0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,,,,,,,,,,0.29
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,0.27
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,,,,,,,,,0.25
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,0.23
0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,0.21
0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,,,,,,,,,,0.19
