"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12"
0.000,0.97,,,0.000,0.98,,,0.000,0.98,,,0.000,0.98,,,0.000,1.00,,,0.000,0.97,,,0.000,0.98,,,0.000,1.02,,,0.000,0.95,,,0.000,0.95,,
0.020,1.01,0.49,,0.020,0.98,-0.04,,0.020,0.97,-0.18,,0.020,1.02,-0.06,,0.020,1.00,-0.08,,0.020,0.97,0.00,,0.020,0.98,-0.07,,0.020,1.03,-0.27,,0.020,0.94,-0.06,,0.020,0.94,-0.03,
0.040,0.99,-0.05,-20.25,0.040,0.98,-0.13,-1.57,0.040,0.97,-0.02,6.39,0.040,0.98,-0.47,-10.64,0.040,1.00,-0.02,2.40,0.040,0.97,0.02,1.04,0.040,0.98,-0.10,-0.97,0.040,1.01,-0.49,-4.37,0.040,0.94,-0.03,1.54,0.040,0.94,-0.01,0.60
0.060,0.99,-0.32,-6.69,0.060,0.97,-0.11,2.82,0.060,0.97,0.07,3.24,0.060,0.98,-0.49,6.48,0.060,1.00,0.02,1.24,0.060,0.97,0.04,0.51,0.060,0.98,-0.11,0.56,0.060,1.00,-0.45,11.54,0.060,0.94,0.01,0.91,0.060,0.94,0.00,0.38
0.080,0.98,-0.21,1.37,0.080,0.97,0.02,4.40,0.080,0.97,0.09,0.98,0.080,0.97,0.06,11.20,0.080,1.00,0.04,-0.04,0.080,0.97,0.05,-3.77E-4,0.080,0.97,-0.09,2.17,0.080,0.99,0.06,14.92,0.080,0.94,0.02,0.19,0.080,0.94,0.00,0.19
0.100,0.98,-0.15,3.86,0.100,0.97,0.14,2.05,0.100,0.98,0.09,-0.34,0.100,0.97,0.19,5.62,0.100,1.00,0.01,-1.12,0.100,0.97,0.04,-0.21,0.100,0.97,-0.02,2.69,0.100,0.99,0.56,2.44,0.100,0.94,0.01,-0.24,0.100,0.94,0.00,0.08
0.120,0.98,-0.05,3.12,0.120,0.98,0.15,-2.37,0.120,0.98,0.07,-0.78,0.120,0.99,0.20,-3.98,0.120,1.00,-0.02,-1.59,0.120,0.97,0.03,-0.05,0.120,0.97,0.06,1.43,0.120,1.02,0.29,-15.04,0.120,0.94,-0.01,-0.04,0.120,0.94,0.00,0.04
0.140,0.98,-0.01,2.52,0.140,0.98,0.01,-5.19,0.140,0.98,0.05,-0.78,0.140,0.98,0.04,-9.10,0.140,1.00,-0.06,-1.21,0.140,0.97,0.04,0.09,0.140,0.98,0.06,-0.46,0.140,1.04,-0.38,-18.45,0.140,0.94,0.00,0.01,0.140,0.94,0.00,0.03
0.160,0.98,0.03,2.34,0.160,0.98,-0.13,-4.35,0.160,0.98,0.04,-0.68,0.160,0.99,-0.28,-9.29,0.160,1.00,-0.08,-0.29,0.160,0.97,0.04,-0.10,0.160,0.98,0.00,-0.94,0.160,0.98,-0.79,-5.65,0.160,0.94,0.02,-0.58,0.160,0.94,0.00,0.02
0.180,0.98,0.07,3.18,0.180,0.97,-0.20,-1.05,0.180,0.98,0.03,-1.03,0.180,0.98,-0.43,-3.51,0.180,0.99,-0.07,0.96,0.180,0.98,0.03,-0.43,0.180,0.97,-0.02,-0.04,0.180,0.99,-0.56,5.99,0.180,0.94,-0.02,-1.26,0.180,0.94,0.00,-0.02
