Time (s) Run #13,Position (m) Run #13,Velocity (m/s) Run #13,Acceleration (m/s²) Run #13,Time (s) Run #14,Position (m) Run #14,Velocity (m/s) Run #14,Acceleration (m/s²) Run #14,Time (s) Run #15,Position (m) Run #15,Velocity (m/s) Run #15,Acceleration (m/s²) Run #15,Time (s) Run #16,Position (m) Run #16,Velocity (m/s) Run #16,Acceleration (m/s²) Run #16,Time (s) Run #17,Position (m) Run #17,Velocity (m/s) Run #17,Acceleration (m/s²) Run #17,Time (s) Run #18,Position (m) Run #18,Velocity (m/s) Run #18,Acceleration (m/s²) Run #18,Time (s) Run #19,Position (m) Run #19,Velocity (m/s) Run #19,Acceleration (m/s²) Run #19,Time (s) Run #20,Position (m) Run #20,Velocity (m/s) Run #20,Acceleration (m/s²) Run #20,Time (s) Run #21,Position (m) Run #21,Velocity (m/s) Run #21,Acceleration (m/s²) Run #21,Time (s) Run #22,Position (m) Run #22,Velocity (m/s) Run #22,Acceleration (m/s²) Run #22,Time (s) Run #24,Position (m) Run #24,Velocity (m/s) Run #24,Acceleration (m/s²) Run #24
0,1.14,,,0,1.14,,,0,1.19,,,0,1.08,,,0,1.09,,,0,1.14,,,0,1.07,,,0,1.12,,,0,1.09,,,0,1.1,,,0,0.93,,
0.02,1.14,-0.14,,0.02,1.14,-0.86,,0.02,1.19,-0.03,,0.02,1.08,0.02,,0.02,1.09,0.17,,0.02,1.14,0.16,,0.02,1.07,-0.02,,0.02,1.14,0.59,,0.02,1.09,0.01,,0.02,1.1,-0.02,,0.02,0.93,-0.06,
0.04,1.13,-0.02,5.34,0.04,1.11,-0.58,14.08,0.04,1.19,-0.02,0.36,0.04,1.08,0.04,0.6,0.04,1.09,0.02,-6.85,0.04,1.15,0.17,-1.1,0.04,1.07,-0.02,0.12,0.04,1.14,-0.37,-20.9,0.04,1.09,0.01,-0.29,0.04,1.1,0,0.59,0.04,0.93,-0.03,1.03
0.06,1.14,0.08,2.57,0.06,1.1,-0.29,17.87,0.06,1.19,-0.02,-0.24,0.06,1.08,0.05,-0.11,0.06,1.09,-0.1,-3.09,0.06,1.15,0.11,-2.79,0.06,1.07,-0.02,-0.01,0.06,1.12,-0.25,1.29,0.06,1.09,0,-0.09,0.06,1.1,0.01,0.28,0.06,0.93,-0.02,0.77
0.08,1.14,0.11,-0.18,0.08,1.11,0.22,16.31,0.08,1.19,-0.03,-0.89,0.08,1.08,0.03,-0.62,0.08,1.09,-0.13,0.68,0.08,1.15,0.03,-5.94,0.08,1.07,-0.02,-0.01,0.08,1.1,0.17,7.1,0.08,1.09,0,0.02,0.08,1.1,0.01,0.14,0.08,0.93,-0.01,0.83
0.1,1.14,0.04,-1.72,0.1,1.1,0.49,9.7,0.1,1.19,-0.05,-1.02,0.1,1.08,0.02,-1.03,0.1,1.09,-0.05,3.43,0.1,1.15,-0.04,-10.51,0.1,1.07,-0.02,0.06,0.1,1.15,0.2,0.63,0.1,1.09,0.01,0.02,0.1,1.1,0.01,0.16,0.1,0.93,0.01,0.9
0.12,1.14,-0.01,-1.26,0.12,1.13,0.6,0.54,0.12,1.19,-0.09,-0.11,0.12,1.08,0,-1.32,0.12,1.09,0.05,4.07,0.12,1.15,-0.39,-11.93,0.12,1.07,-0.02,0.13,0.12,1.12,0.04,-2.76,0.12,1.09,0,-0.14,0.12,1.1,0.01,0.22,0.12,0.93,0.04,0.55
0.14,1.14,-0.01,0.12,0.14,1.14,0.49,-5.01,0.14,1.19,-0.08,0.7,0.14,1.08,-0.04,-1.16,0.14,1.09,0.13,2.39,0.14,1.14,-0.73,-5.59,0.14,1.07,-0.01,0.15,0.14,1.12,-0.03,-2.81,0.14,1.09,0,-0.47,0.14,1.1,0.02,0.09,0.14,0.93,0.04,-0.11
0.16,1.14,0.01,0.89,0.16,1.15,0.28,-6.14,0.16,1.18,-0.02,0.01,0.16,1.08,-0.07,-0.39,0.16,1.09,0.18,-0.72,0.16,1.11,-0.72,5.35,0.16,1.07,-0.01,0.25,0.16,1.14,0.08,-3.78,0.16,1.09,-0.01,-0.76,0.16,1.1,0.02,-0.38,0.16,0.93,0.02,-0.51
0.18,1.14,0.04,0.78,0.18,1.15,0.2,-4.1,0.18,1.19,-0.04,-1.25,0.18,1.08,-0.06,0.55,0.18,1.1,0.11,-2.28,0.18,1.1,-0.39,10.97,0.18,1.07,-0.01,0.56,0.18,1.13,-0.18,-2.95,0.18,1.09,-0.03,-0.52,0.18,1.1,0.01,-0.97,0.18,0.93,0.01,-0.48
0.2,1.14,0.05,0.05,0.2,1.15,0.15,-2.08,0.2,1.19,-0.12,-0.51,0.2,1.08,-0.03,1.06,0.2,1.1,-0.01,-0.98,0.2,1.1,-0.09,8.83,0.2,1.07,0.01,0.88,0.2,1.12,-0.27,0.84,0.2,1.09,-0.05,0.44,0.2,1.1,-0.02,-1.17,0.2,0.93,0,-0.26
0.22,1.14,0.04,-0.68,0.22,1.16,0.13,-1.91,0.22,1.18,-0.12,2.07,0.22,1.07,-0.01,1.04,0.22,1.09,0.05,1.01,0.22,1.1,-0.04,3.95,0.22,1.07,0.03,0.78,0.22,1.12,-0.03,3.48,0.22,1.09,-0.02,1.53,0.22,1.1,-0.05,-0.74,0.22,0.93,0,-0.07
0.24,1.14,0.01,-1,0.24,1.16,0.1,-2.65,0.24,1.18,0,3.07,0.24,1.07,0.01,0.79,0.24,1.09,0.12,-0.43,0.24,1.1,-0.01,1.14,0.24,1.07,0.05,0.01,0.24,1.12,0.04,0.8,0.24,1.09,0.03,1.92,0.24,1.1,-0.06,-0.05,0.24,0.93,0,0.03
0.26,1.14,-0.01,-0.82,0.26,1.16,0.02,-3.38,0.26,1.18,0.08,1.37,0.26,1.08,0.02,0.49,0.26,1.11,0.09,-3.61,0.26,1.1,0,0.45,0.26,1.07,0.04,-1.05,0.26,1.12,-0.07,-2,0.26,1.09,0.07,1.19,0.26,1.1,-0.05,0.16,0.26,0.93,0,0.03
0.28,1.14,-0.02,-0.46,0.28,1.16,-0.06,-3.06,0.28,1.18,0.04,-0.59,0.28,1.08,0.03,0.17,0.28,1.1,-0.11,-3.17,0.28,1.1,0.01,0.06,0.28,1.07,5.77E-05,-1.57,0.28,1.12,-0.14,-0.6,0.28,1.09,0.09,-0.35,0.28,1.1,-0.03,-0.21,0.28,0.93,0,-0.08
0.3,1.14,-0.02,-0.2,0.3,1.16,-0.11,-1.96,0.3,1.18,6.48E-04,-0.6,0.3,1.08,0.03,-0.11,0.3,1.1,-0.15,0.22,0.3,1.1,0,-0.14,0.3,1.07,-0.04,-1.17,0.3,1.11,-0.1,1.8,0.3,1.1,0.06,-1.81,0.3,1.1,-0.05,-0.39,0.3,0.93,7.78E-04,-0.2
