Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Time (s) Run #12,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11,Position (m) Run #12
-2.02,-2.64,-2.92,-2.52,-1.42,-1.7,-2.02,-1.56,-1.98,-1.68,,,,,,,,,,
-2.0,-2.62,-2.9,-2.5,-1.4,-1.68,-2.0,-1.54,-1.96,-1.66,,,,,,,,,,
-1.98,-2.6,-2.88,-2.48,-1.38,-1.66,-1.98,-1.52,-1.94,-1.64,,,,,,,,,,
-1.96,-2.58,-2.86,-2.46,-1.3599999999999999,-1.64,-1.96,-1.5,-1.92,-1.6199999999999999,,,,,,,,,,
-1.94,-2.56,-2.84,-2.44,-1.3399999999999999,-1.6199999999999999,-1.94,-1.48,-1.9,-1.5999999999999999,,,,,,,,,,
-1.92,-2.54,-2.82,-2.42,-1.3199999999999998,-1.5999999999999999,-1.92,-1.46,-1.88,-1.5799999999999998,,,,,,,,,,
-1.9,-2.52,-2.8,-2.4,-1.2999999999999998,-1.58,-1.9,-1.44,-1.8599999999999999,-1.56,,,,,,,,,,
-1.88,-2.5,-2.78,-2.38,-1.2799999999999998,-1.56,-1.88,-1.42,-1.8399999999999999,-1.54,,,,,,,,,,
-1.86,-2.48,-2.76,-2.36,-1.26,-1.54,-1.86,-1.4000000000000001,-1.82,-1.52,,,,,,,,,,
-1.84,-2.46,-2.7399999999999998,-2.34,-1.24,-1.52,-1.84,-1.3800000000000001,-1.8,-1.5,,,,,,,,,,
-1.82,-2.44,-2.7199999999999998,-2.32,-1.22,-1.5,-1.82,-1.36,-1.78,-1.48,,,,,,,,,,
-1.8,-2.42,-2.6999999999999997,-2.3,-1.2,-1.48,-1.8,-1.34,-1.76,-1.46,,,,,,,,,,
-1.78,-2.4000000000000004,-2.6799999999999997,-2.2800000000000002,-1.18,-1.46,-1.78,-1.32,-1.74,-1.44,,,,,,,,,,
-1.76,-2.38,-2.66,-2.26,-1.16,-1.44,-1.76,-1.3,-1.72,-1.42,,,,,,,,,,
-1.74,-2.3600000000000003,-2.6399999999999997,-2.24,-1.14,-1.42,-1.74,-1.28,-1.7,-1.4,,,,,,,,,,
-1.72,-2.3400000000000003,-2.62,-2.22,-1.1199999999999999,-1.4,-1.72,-1.26,-1.68,-1.38,,,,,,,,,,
-1.7,-2.3200000000000003,-2.6,-2.2,-1.0999999999999999,-1.38,-1.7,-1.24,-1.66,-1.3599999999999999,,,,,,,,,,
-1.68,-2.3000000000000003,-2.58,-2.18,-1.0799999999999998,-1.3599999999999999,-1.68,-1.22,-1.64,-1.3399999999999999,,,,,,,,,,
-1.6600000000000001,-2.2800000000000002,-2.56,-2.16,-1.06,-1.3399999999999999,-1.6600000000000001,-1.2000000000000002,-1.62,-1.3199999999999998,,,,,,,,,,
-1.6400000000000001,-2.2600000000000002,-2.54,-2.14,-1.04,-1.3199999999999998,-1.6400000000000001,-1.1800000000000002,-1.6,-1.2999999999999998,,,,,,,,,,
-1.62,-2.24,-2.52,-2.12,-1.02,-1.2999999999999998,-1.62,-1.1600000000000001,-1.58,-1.2799999999999998,,,,,,,,,,
-1.6,-2.22,-2.5,-2.1,-1.0,-1.28,-1.6,-1.1400000000000001,-1.56,-1.26,,,,,,,,,,
-1.58,-2.2,-2.48,-2.08,-0.98,-1.26,-1.58,-1.12,-1.54,-1.24,,,,,,,,,,
-1.56,-2.18,-2.46,-2.06,-0.96,-1.24,-1.56,-1.1,-1.52,-1.22,,,,,,,,,,
-1.54,-2.16,-2.44,-2.04,-0.94,-1.22,-1.54,-1.08,-1.5,-1.2,,,,,,,,,,
-1.52,-2.14,-2.42,-2.02,-0.9199999999999999,-1.2,-1.52,-1.06,-1.48,-1.18,,,,,,,,,,
-1.5,-2.12,-2.4,-2.0,-0.8999999999999999,-1.18,-1.5,-1.04,-1.46,-1.16,,,,,,,,,,
-1.48,-2.1,-2.38,-1.98,-0.8799999999999999,-1.16,-1.48,-1.02,-1.44,-1.14,,,,,,,,,,
-1.46,-2.08,-2.36,-1.96,-0.8599999999999999,-1.14,-1.46,-1.0,-1.42,-1.1199999999999999,,,,,,,,,,
-1.44,-2.06,-2.34,-1.94,-0.84,-1.12,-1.44,-0.9800000000000001,-1.4,-1.1,,,,,,,,,,
-1.42,-2.04,-2.32,-1.92,-0.82,-1.1,-1.42,-0.9600000000000001,-1.38,-1.08,,,,,,,,,,
-1.4,-2.02,-2.3,-1.9,-0.7999999999999999,-1.08,-1.4,-0.9400000000000001,-1.3599999999999999,-1.06,,,,,,,,,,
